conversation_root_id,customer_tweet_id,customer_text,brand_tweet_id,brand_text,created_at,brand_author_id,candidate_intent,gold_intent,gold_escalation,label_source,label_notes
274434,274434,"@AmazonHelp This time, I ordered from #AmazonPrimeAccount 😇
This is third class #service of #Amazon https://t.co/6cmmxolB0h",274436,@181565 Apologies for the inconvenience. Kindly revert to the email you've received from our specialist team. ^AP,Fri Oct 06 05:43:03 +0000 2017,AmazonHelp,account_issue,,,human_required,
49121,49121,I liked a @126972 video https://t.co/1leptFk24J How to Register &amp; Activate Amazon India seller account and Shipping setup guide for,49120,"@126971 I get your interest in becoming a seller, Deepak. Please refer here: https://t.co/ButnZvHMJh for info to become a seller. ^SV",Wed Nov 01 17:25:31 +0000 2017,AmazonHelp,account_issue,,,human_required,
197587,197587,"@AmazonHelp Reg. Ph. No. 8871367456 approx 600 inr in account, prime member, can't add any email (now) please help i want to order something immediately",197585,@162488 We can't access your details over Twitter. Can use the secure link and fill the form for us to pull your details/(1/2) ^CB,Wed Oct 04 14:16:01 +0000 2017,AmazonHelp,account_issue,,,human_required,
63994,63994,@AmazonHelp @115850 I gave the 48 hours you guys asked. Money is still not reflecting in my account. Is has been more than 2 weeks now. WHERE IS MY MONEY? GIVE MY MY MONEY. #AmazonFails @115851 #AmazonFraud #AmazonPay #AmazonPayQuiz,63990,"@130696 Apologies for the delay with the addition of Pay Balance, Ritesh. I checked your details but I'm unable to find the form shared by you. In that case, kindly refill your details which was provided here: https://t.co/5KshMDoJNq and we'll get this sorted for you. ^PB",Thu Nov 30 06:01:34 +0000 2017,AmazonHelp,account_issue,,,human_required,
255475,255475,@AmazonHelp Can you help me to unlock my account?,255473,@176752 We cannot access your account with Twitter so please reach out to us by phone or e-mail here: https://t.co/jzvkhd3Qlv,Thu Oct 05 18:53:51 +0000 2017,AmazonHelp,account_issue,,,human_required,
51602,51602,"@AmazonHelp Going to have to call support as it wont let me change my password, same thing happened less than two weeks ago.",51604,"@127582 Oh no! I'm sorry about this inconvenience, Alex! You can reach out to us here: https://t.co/zYVX1Qi29G ^HM",Wed Nov 01 18:19:10 +0000 2017,AmazonHelp,account_issue,,,human_required,
280148,280148,@AmazonHelp documents because you chose to lock my account! This is the reason why I have never used this service before. #epicfail@,280145,@182770 Sorry to hear about your account; it can take up to 48hrs to hear back after you submit the documentation. ^NV,Fri Oct 06 10:07:34 +0000 2017,AmazonHelp,account_issue,,,human_required,
206738,206738,@AmazonHelp No on both accounts,206740,"@164964 Does anyone else in your household have access to your account, or use your account to sign into Amazon Video? ^NC",Wed Oct 04 21:57:59 +0000 2017,AmazonHelp,account_issue,,,human_required,
64180,64180,"@AmazonHelp No. I was assured by CS via chat credit would appear in 5 or so hrs. I just waited longer in case. Yet I'm still being given the ""these gift order #s have been redeemed"" when nope, still not in my account either as ebooks or credit.",64179,@130733 Can I ask which site you are using? Amazon .com / .co.uk / .de etc? ^MI,Thu Nov 30 07:29:16 +0000 2017,AmazonHelp,account_issue,,,human_required,
235757,235757,"@115850 need small assistance, added 1k in amazon pay but still not reflecting in account. Pls help",235756,@172151 Sorry for the trouble. Kindly report this to our support team here: https://t.co/vlvfJr4nN9 and we'll check this. ^HN,Thu Oct 05 13:30:53 +0000 2017,AmazonHelp,account_issue,,,human_required,
3733,3733,"@AmazonHelp um, my account was locked as soon as I tried to login on desktop. I still haven’t received an email on how to get it unlocked...",3731,@116612 I'm sorry your account is locked! Please reach out directly to us here: https://t.co/jzvkhdlrK5 so we can take a closer look. ^TN,Tue Oct 31 22:57:48 +0000 2017,AmazonHelp,account_issue,,,human_required,
160242,160242,"@AmazonHelp Hi, I’ve just ordered an Amazon Fire stick. But notice you’ve also taken £1.00 out of my account on a separate transaction. May I ask why ? Thanks",160241,"@152921 I'm sorry for the unexpected charge! This sounds like an authorisation charge, which should be removed shortly! More information about authorisation can be found here: https://t.co/KWfDXQthZy ^WT",Fri Nov 24 18:30:22 +0000 2017,AmazonHelp,account_issue,,,human_required,
231351,231351,@AmazonHelp I am unable to add Amazon gift voucher to my account,231350,@171099 What is the error you're getting? ^RW,Thu Sep 28 06:02:51 +0000 2017,AmazonHelp,account_issue,,,human_required,
49893,49893,@AmazonHelp That is the problem! I cant access on my account because still on hold! I dont know why! Have a chat for customer service?,49892,@126979 I'm sorry! Use this instead: https://t.co/jzvkhdlrK5 Our phone # will populate when you choose the reason for calling. ^KN,Wed Nov 01 17:34:51 +0000 2017,AmazonHelp,account_issue,,,human_required,
158734,158734,Yo I’ve been waiting for @115821 to ship my mustard champion hoodie for 2 weeks and I just checked my account and the order doesn’t exist anymore what the helllll 😤😤,158733,@152490 I'm sorry for the frustration! Did you receive an order confirmation e-mail when you ordered the hoodie? You can check here: https://t.co/smcJSqiAX6 ^JP,Fri Nov 24 17:41:37 +0000 2017,AmazonHelp,account_issue,,,human_required,
284289,284289,@AmazonHelp What's the update on the account I filled up the link and sent long back,284290,@158485 an email correspondence from our team by now. Request you to check and reply to that correspondence. 2/2 ^NK,Fri Oct 06 13:20:48 +0000 2017,AmazonHelp,account_issue,,,human_required,
269458,269458,@AmazonHelp This is the receipt from our Amazon prime account so I think so? https://t.co/3DfCWjDbB7,269460,@180264 We're happy to review available options with you directly if you get in touch with us here: https://t.co/hApLpMlfHN. ^EZ,Fri Oct 06 23:29:58 +0000 2017,AmazonHelp,account_issue,,,human_required,
71845,71845,"@115830 been trying to login to my account to place an order, but it won’t let me! What’s going on?! #Irritating",71844,"@132121 Hi Zoe, have you checked to make sure your username and password are correct? You could always try to choose the ""forgot username/password"" option and follow the instructions from there. ^HS",Thu Nov 30 10:06:44 +0000 2017,AmazonHelp,account_issue,,,human_required,
227362,227362,@AmazonHelp So cheaters....what happened....still not delivered...hence cancelled the order,227361,"@170233 Could you please confirm, if you've shared your details on the link shared above? ^PS",Thu Oct 05 07:33:20 +0000 2017,AmazonHelp,cancellation,,,human_required,
226133,226133,@AmazonHelp shipment in the way how to cancel????,226130,@169987 You can refuse the shipment at the time of delivery and you will be refunded for the order if it's prepaid. ^AP,Thu Oct 05 06:02:48 +0000 2017,AmazonHelp,cancellation,,,human_required,
46548,46548,@AmazonHelp I got a msg saying that my order has been cancelled for no specific reason and the payment has already been done https://t.co/8pCGmquCer,46547,@126337 you may get in touch with us over the phone or chat from here: https://t.co/rS49hgaADF (3/3)^SU,Wed Nov 01 16:36:31 +0000 2017,AmazonHelp,cancellation,,,human_required,
179273,179273,"@AmazonHelp As you can appreciate this is slightly confusing, with all orders having been cancelled and makes me think I'm trapped in a process failure",179271,@158252 Hi - we are investigating and will be touch  ^TD,Wed Oct 04 09:51:22 +0000 2017,AmazonHelp,cancellation,,,human_required,
96846,96846,@AmazonHelp Still have heard nothing from you. Cancel the order. What a fucking joke.,96845,"@137139 I'm sorry Jordan, we're still investigating your issue and will get back to you as soon as possible.^PJ",Thu Nov 30 16:06:42 +0000 2017,AmazonHelp,cancellation,,,human_required,
86211,86211,"@115821 help order number I wish to cancel ORDER # D01-3970700-6742663. Inadvertently ordered.  

Thanx",86210,"@134819 We're happy to help! However, we aren't able to access your account via Twitter. Can you please contact us here:  https://t.co/hApLpMlfHN ^GS",Thu Nov 30 14:07:04 +0000 2017,AmazonHelp,cancellation,,,human_required,
284040,284040,"@AmazonHelp 408-3137785-3626763 this is my Order ID...
Please Make a confirm that This product won't be Cancelled",284042,@183647 Please don’t provide your order details as we consider them to be personal info. Our Twitter page is visible to public. (2/2)^BS,Fri Oct 06 14:35:58 +0000 2017,AmazonHelp,cancellation,,,human_required,
98680,98680,"@AmazonHelp Yep, https://t.co/ziEVp241yz. My order is fine, but hers was cancelled. :/",98679,@137599 I'm sorry your girlfriend's order was canceled! Please contact us here so we can try to get this resolved for you both: https://t.co/hApLpMlfHN We look forward to hearing from you! ^VR,Thu Nov 30 16:19:05 +0000 2017,AmazonHelp,cancellation,,,human_required,
181233,181233,"@AmazonHelp me han cancelado todos mis pedidos por un fraude inexistente, sin previo aviso, unilateralmente y sin ofrecerme solución ni explicación alguna.Ahora que ya no existen los mismos descuentos quieren que repita mi pedido.Ustedes cometen un error y, ¿tengo que pagarlo yo? https://t.co/a0fcb2HIAD",181231,"@158555 ¡Hola, Marta! Lamento lo ocurrido, te recomendamos seguir las instrucciones indicadas en el email.  ^DS",Sat Nov 25 01:40:59 +0000 2017,AmazonHelp,cancellation,,,human_required,
124702,124702,I forgot to cancel my amazon prime trial... there goes $100.,124701,"@143931 If you haven't used any of the benefits, you're eligible for a refund. More information is available here: https://t.co/boQ3qtD62D  ^SJ",Fri Nov 24 02:01:10 +0000 2017,AmazonHelp,cancellation,,,human_required,
16758,16758,@AmazonHelp fuck you guys. Canceling Prime. Not gonna do business with you guys ever again.,16755,"@119697 This isn't how we want you to feel. We'd like to help, if possible. Please let us know more about what's going. ^BH",Wed Nov 01 04:07:06 +0000 2017,AmazonHelp,cancellation,,,human_required,
274020,274020,"@115850 @13918 @137848 sir plz stop rampant loot by corp Amazon since u r incharge.order &amp; no delvry #
405-7909813-0039543",274021,"@181478 We will look into it. 
Please don't provide your order details, as we consider it to be personal information.  2/3^SB",Fri Oct 06 04:10:23 +0000 2017,AmazonHelp,cancellation,,,human_required,
