example_id,message,gold_intent,gold_escalation,label_source
1,Where is my order?,order_status,AUTO-HANDLE,synthetic_bootstrap
2,Can you tell me the status of this order?,order_status,AUTO-HANDLE,synthetic_bootstrap
3,Tracking has not changed.,order_status,AUTO-HANDLE,synthetic_bootstrap
4,Where is my order? Please help.,order_status,AUTO-HANDLE,synthetic_bootstrap
5,Can you tell me the status of my order?,order_status,AUTO-HANDLE,synthetic_bootstrap
6,Tracking has not changed.,order_status,AUTO-HANDLE,synthetic_bootstrap
7,Where is my order?,order_status,AUTO-HANDLE,synthetic_bootstrap
8,Can you tell me the status of my order? Please help.,order_status,AUTO-HANDLE,synthetic_bootstrap
9,Tracking has not changed.,order_status,AUTO-HANDLE,synthetic_bootstrap
10,Where is this order?,order_status,AUTO-HANDLE,synthetic_bootstrap
11,Can you tell me the status of my order?,order_status,AUTO-HANDLE,synthetic_bootstrap
12,Tracking has not changed. Please help.,order_status,AUTO-HANDLE,synthetic_bootstrap
13,Where is my order?,order_status,AUTO-HANDLE,synthetic_bootstrap
14,Can you tell me the status of this order?,order_status,AUTO-HANDLE,synthetic_bootstrap
15,Tracking has not changed.,order_status,AUTO-HANDLE,synthetic_bootstrap
16,Where is my order? Please help.,order_status,AUTO-HANDLE,synthetic_bootstrap
17,Can you tell me the status of my order?,order_status,AUTO-HANDLE,synthetic_bootstrap
18,Tracking has not changed.,order_status,AUTO-HANDLE,synthetic_bootstrap
19,My delivery is late.,delivery_delay,AUTO-HANDLE,synthetic_bootstrap
20,It was supposed to arrive yesterday.,delivery_delay,AUTO-HANDLE,synthetic_bootstrap
21,Why is my package delayed?,delivery_delay,AUTO-HANDLE,synthetic_bootstrap
22,My delivery is late. Please help.,delivery_delay,AUTO-HANDLE,synthetic_bootstrap
23,It was supposed to arrive yesterday.,delivery_delay,AUTO-HANDLE,synthetic_bootstrap
24,Why is this package delayed?,delivery_delay,AUTO-HANDLE,synthetic_bootstrap
25,My delivery is late.,delivery_delay,AUTO-HANDLE,synthetic_bootstrap
26,It was supposed to arrive yesterday. Please help.,delivery_delay,AUTO-HANDLE,synthetic_bootstrap
27,Why is my package delayed?,delivery_delay,AUTO-HANDLE,synthetic_bootstrap
28,My delivery is late.,delivery_delay,AUTO-HANDLE,synthetic_bootstrap
29,It was supposed to arrive yesterday.,delivery_delay,AUTO-HANDLE,synthetic_bootstrap
30,Why is my package delayed? Please help.,delivery_delay,AUTO-HANDLE,synthetic_bootstrap
31,My delivery is late.,delivery_delay,AUTO-HANDLE,synthetic_bootstrap
32,It was supposed to arrive yesterday.,delivery_delay,AUTO-HANDLE,synthetic_bootstrap
33,Why is my package delayed?,delivery_delay,AUTO-HANDLE,synthetic_bootstrap
34,My delivery is late. Please help.,delivery_delay,AUTO-HANDLE,synthetic_bootstrap
35,It was supposed to arrive yesterday.,delivery_delay,AUTO-HANDLE,synthetic_bootstrap
36,Why is this package delayed?,delivery_delay,AUTO-HANDLE,synthetic_bootstrap
37,It says delivered but I never got it.,missing_delivery,ESCALATE,synthetic_bootstrap
38,My package is marked delivered and is missing.,missing_delivery,ESCALATE,synthetic_bootstrap
39,The carrier says delivered but nothing arrived.,missing_delivery,ESCALATE,synthetic_bootstrap
40,It says delivered but I never got it. Please help.,missing_delivery,ESCALATE,synthetic_bootstrap
41,My package is marked delivered and is missing.,missing_delivery,ESCALATE,synthetic_bootstrap
42,The carrier says delivered but nothing arrived.,missing_delivery,ESCALATE,synthetic_bootstrap
43,It says delivered but Could you never got it.,missing_delivery,ESCALATE,synthetic_bootstrap
44,My package is marked delivered and is missing. Please help.,missing_delivery,ESCALATE,synthetic_bootstrap
45,The carrier says delivered but nothing arrived.,missing_delivery,ESCALATE,synthetic_bootstrap
46,It says delivered but I never got it.,missing_delivery,ESCALATE,synthetic_bootstrap
47,My package is marked delivered and is missing.,missing_delivery,ESCALATE,synthetic_bootstrap
